1.130874	0.069319
3.304963	0.111608
5.777698	0.182238
7.431735	0.233459
9.694956	0.277159
12.29711	0.335822
14.8981	0.385848
17.49884	0.434079
20.09899	0.477823
22.69916	0.521792
25.29938	0.566096
27.8992	0.607372
30.49901	0.648648
33.09932	0.693626
35.69778	0.724806
38.29729	0.763861
40.896	0.796926
43.49649	0.84325
46.09599	0.88217
48.69458	0.91436
51.29317	0.946549
53.89297	0.987713
56.49218	1.024525
59.09064	1.055682
61.68935	1.088769
64.28848	1.124997
66.88703	1.15685
69.48503	1.184665
72.08404	1.21994
74.6828	1.253419
77.28049	1.278878
79.87838	1.305852
82.47789	1.344828
85.07594	1.372979
87.67427	1.403262
90.2725	1.432759
92.87136	1.466968
95.46928	1.49411
98.06701	1.519905
100.6651	1.548393
103.2636	1.580022
105.8619	1.609743
108.4593	1.632914
111.0575	1.662793
113.6554	1.689373
116.2539	1.721339
118.8515	1.745564
121.331	1.769352
